algo,variant,n_events,status,elapsed_s,peak_rss_mb,repeats
ocdfg,window,30000,ok,0.09281141799965553,297.4,3
ocdfg,selfjoin,30000,ok,0.18904864199976146,360.4,3
totem,eager,30000,ok,0.08243408999987878,285.3,3
totem,lazy,30000,ok,0.10268610799994349,290.9,3
ocdfg,window,100000,ok,0.20291958100006013,322.9,3
ocdfg,selfjoin,100000,ok,0.5420908950000012,488.8,3
totem,eager,100000,ok,0.20174594299987803,309.2,3
totem,lazy,100000,ok,0.27999639900008333,316.2,3
ocdfg,window,300000,ok,0.34300415000052453,378.7,3
ocdfg,selfjoin,300000,ok,1.3736024330000873,876.3,3
totem,eager,300000,ok,0.36197118099971703,377.8,3
totem,lazy,300000,ok,0.5655755769994357,420.8,3
ocdfg,window,1000000,ok,1.0519315649999044,520.7,1
ocdfg,selfjoin,1000000,ok,4.784439033000126,2200.3,1
totem,eager,1000000,ok,1.0580208629999106,528.4,1
totem,lazy,1000000,ok,1.8349852709998231,685.9,1
ocdfg,window,3000000,ok,2.774956065999504,922.4,1
ocdfg,selfjoin,3000000,ok,14.938650213000074,6131.4,1
totem,eager,3000000,ok,3.1112613700006477,909.4,1
totem,lazy,3000000,ok,5.728118606999487,1176.7,1
