algo,variant,trace_len,status,elapsed_s,peak_rss_mb
ocdfg,window,10,ok,0.3689954799992847,378.3
ocdfg,selfjoin,10,ok,1.3487423569995372,881.2
totem,eager,10,ok,0.3667656910001824,357.8
totem,lazy,10,ok,0.5596739650000018,419.7
ocdfg,window,30,ok,0.34446767499957787,381.8
ocdfg,selfjoin,30,ok,6.169473861999904,1894.9
totem,eager,30,ok,0.3064004039997599,358.9
totem,lazy,30,ok,0.7748393339998074,410.9
ocdfg,window,100,ok,0.33980412799974147,367.6
ocdfg,selfjoin,100,ok,49.46418525900026,5657.1
totem,eager,100,ok,0.28360857700045017,357.6
totem,lazy,100,ok,1.5595557630003896,409.2
ocdfg,window,300,ok,0.3327993819993935,375.5
ocdfg,selfjoin,300,error,181.09482502937317,
totem,eager,300,ok,0.28369906099942455,352.9
totem,lazy,300,ok,3.6222126029997526,415.8
