log,algo,engine,status,elapsed_s,load_s,peak_rss_mb,n_variants,leading_type
container_logistics,import,json->polars,ok,1.2366902140001912,,397.2,,
container_logistics,import,json->duckdb,ok,1.348676505000185,,411.0,,
container_logistics,import,duckdb-open,ok,0.027214544999878854,,253.4,,
container_logistics,ocdfg,duckdb,ok,0.1722001079997426,,321.2,,
container_logistics,ocdfg,polars,ok,0.09978466099983052,0.24616160000005038,331.6,,
container_logistics,ocdfg,pm4py,ok,5.630858297000486,0.16140721000010672,370.3,,
container_logistics,totem,duckdb,ok,0.3324762370002645,,350.2,,
container_logistics,totem,polars,ok,1.7269557560002795,0.25372790599976724,358.4,,
container_logistics,variants,duckdb,ok,0.4604555000005348,,334.8,16,CustomerOrder
container_logistics,variants,polars,ok,0.9613529479993304,0.24646632200074237,368.4,16,CustomerOrder
ocel2-p2p,import,json->polars,ok,1.0428122439998333,,480.3,,
ocel2-p2p,import,json->duckdb,ok,1.6823564400001487,,477.1,,
ocel2-p2p,import,duckdb-open,ok,0.025968347000343783,,253.3,,
ocel2-p2p,ocdfg,duckdb,ok,0.11517280699990806,,308.8,,
ocel2-p2p,ocdfg,polars,ok,0.08331736599939177,0.31677341499926115,349.6,,
ocel2-p2p,ocdfg,pm4py,ok,2.4203723150003498,0.11241814400000294,309.3,,
ocel2-p2p,totem,duckdb,ok,0.21491852899998776,,344.9,,
ocel2-p2p,totem,polars,ok,0.8437194440002713,0.31031286100005673,349.3,,
ocel2-p2p,variants,duckdb,ok,5.107695167000202,,431.8,444,purchase_order
ocel2-p2p,variants,polars,ok,4.937089044999993,0.2906617369999367,357.0,444,purchase_order
order-management,import,json->polars,ok,1.2548994740000126,,470.5,,
order-management,import,json->duckdb,ok,2.7575269859999025,,456.6,,
order-management,import,duckdb-open,ok,0.025397370999598934,,253.4,,
order-management,ocdfg,duckdb,ok,0.22668075199999294,,350.1,,
order-management,ocdfg,polars,ok,0.11661878599988995,0.3371470649999537,373.4,,
order-management,ocdfg,pm4py,ok,4.5898329559995545,0.22530585799995606,416.3,,
order-management,totem,duckdb,ok,0.8422313290002421,,500.3,,
order-management,totem,polars,ok,1.9346609360000002,0.3204123529994831,372.6,,
order-management,variants,duckdb,oom,195.487651348114,,,,
order-management,variants,polars,oom,464.9370205402374,,,,
