algo,engine,n_events,status,elapsed_s,load_s,peak_rss_mb,repeats,stderr_tail
ocdfg,duckdb,30000,ok,0.09442961100012326,,297.5,3,
ocdfg,polars,30000,ok,0.05431093899960615,0.1642295749998084,305.3,3,
ocdfg,pm4py,30000,ok,4.074917335000009,0.10412645299993528,312.1,3,
totem,duckdb,30000,ok,0.0826908750000257,,284.9,3,
totem,polars,30000,ok,0.42622016199993595,0.1675057120000929,308.0,3,
ocdfg,duckdb,100000,ok,0.2092928199999733,,330.0,3,
ocdfg,polars,100000,ok,0.08521681800039005,0.3611965529998997,381.9,3,
ocdfg,pm4py,100000,ok,13.986354803999802,0.21347769399972094,450.3,3,
totem,duckdb,100000,ok,0.20178810200013686,,311.2,3,
totem,polars,100000,ok,1.6252215519998572,0.3521211110000877,398.6,3,
ocdfg,duckdb,300000,ok,0.34405320100040626,,374.9,3,
ocdfg,polars,300000,ok,0.2048294569999598,0.7008141040000737,598.7,3,
ocdfg,pm4py,300000,ok,43.360209180999846,0.48226384500003405,902.2,3,
totem,duckdb,300000,ok,0.3625784070000009,,364.2,3,
totem,polars,300000,ok,5.430114714999945,0.7677959020002163,651.9,3,
ocdfg,duckdb,1000000,ok,1.0164063269999133,,527.4,1,
ocdfg,polars,1000000,ok,0.6807074280000052,2.2392532140002004,1247.4,1,
ocdfg,pm4py,1000000,ok,148.0361497480003,1.5284904710001683,1989.7,1,
totem,duckdb,1000000,ok,1.061789729999873,,537.5,1,
totem,polars,1000000,ok,17.540924330000053,2.255774823000138,1542.0,1,
ocdfg,duckdb,3000000,ok,2.749425493999752,,928.2,1,
ocdfg,polars,3000000,ok,2.0346146890001364,6.524356720000014,2958.9,1,
ocdfg,pm4py,3000000,ok,458.61572873700015,4.250512763999723,5453.3,1,
totem,duckdb,3000000,ok,3.00367810500029,,904.0,1,
totem,polars,3000000,ok,53.45557718700002,6.2541285460001745,4078.8,1,
ocdfg,duckdb,10000000,ok,10.520324876999894,,2222.0,1,
ocdfg,polars,10000000,ok,7.12039391899998,21.88382252800011,8972.3,1,
ocdfg,pm4py,10000000,timeout,600.0,,,,
totem,duckdb,10000000,ok,10.714570766999714,,2020.0,1,
totem,polars,10000000,ok,180.6228332109995,21.85439485200004,12894.4,1,
